lesson,mold1_ru,mold1_en,mold2_ru,mold2_en,m1_ex1_ru,m1_ex1_en,m1_ex2_ru,m1_ex2_en,m1_ex3_ru,m1_ex3_en,m1_ex4_ru,m1_ex4_en,m1_ex5_ru,m1_ex5_en,m2_ex1_ru,m2_ex1_en,m2_ex2_ru,m2_ex2_en,m2_ex3_ru,m2_ex3_en,m2_ex4_ru,m2_ex4_en,m2_ex5_ru,m2_ex5_en,exercise,tags
27,"Если… , то…","If…, then…","(кто-то) не знает, что…",(someone) doesn't know what…,"Как только я начну, станет легче.","As soon as I start, it gets easier.","До того как я усну, я сделаю 5 минут.","Before I fall asleep, I'll do 5 minutes.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Если получится, я сделаю минимум.","If it works out, I'll do the minimum.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","мы не знает, что это реально помогает.",we doesn't know what it really helps.,"ты не знает, что это нормально?",you doesn't know what it's normal.,"она не знает, что это не так страшно.",she doesn't know what it's not that scary.,"он не знает, что он просто устал.",he doesn't know what he's just tired.,"они не знает, что это не так страшно.",they doesn't know what it's not that scary.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L027.m4a",SoarSystem::L027
28,Когда?,When?,"(кто-то) не уверен(а), что…",(someone) isn't sure that…,Что это значит в обычной речи?,What does this mean in everyday speech?,"Можно ещё раз, но помедленнее?","Can you repeat, but slower?",Можно вопрос? Я запутался/запуталась.,Can I ask a question? I'm confused.,Как сказать «мне лень» по-русски?,How do you say 'I can't be bothered' in Russian?,Что ты имеешь в виду?,What do you mean?,"она не уверен(а), что это не так страшно.",she isn't sure that it's not that scary.,"они не уверен(а), что это реально помогает.",they isn't sure that it really helps.,"я не уверен(а), что всё зависит от ситуации.",I isn't sure that it depends on the situation.,"ты не уверен(а), что это реально помогает.",you isn't sure that it really helps.,"он не уверен(а), что всё зависит от ситуации.",he isn't sure that it depends on the situation.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L028.m4a",SoarSystem::L028
29,(кто-то) пытается + инфинитив,(someone) is trying to…,(кто-то) не хочет + инфинитив,(someone) doesn't want to…,ты пытается перестать откладывать,you is trying to stop procrastinating,я пытается записать аудио,I is trying to record audio,они пытается начать учиться,they is trying to start studying,он пытается продолжить учиться,he is trying to continue studying,она пытается повторить ещё раз,she is trying to repeat again,они не хочет выйти на прогулку,they doesn't want to go for a walk,она не хочет лечь спать пораньше,she doesn't want to go to bed earlier,ты не хочет повторить ещё раз?,you doesn't want to repeat again,я не хочет продолжить учиться,I doesn't want to continue studying,он не хочет перестать откладывать,he doesn't want to stop procrastinating,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L029.m4a",SoarSystem::L029
30,"Если честно, мне кажется, что…","Honestly, it seems to me that…","(кто-то) знает, что…",(someone) knows that…,"Если честно, мне кажется, что мне нужно больше времени.","Honestly, it seems to me that I need more time.","Если честно, мне кажется, что это нормально.","Honestly, it seems to me that it's normal.","Если честно, мне кажется, что он просто устал.","Honestly, it seems to me that he's just tired.","Если честно, мне кажется, что это реально помогает.","Honestly, it seems to me that it really helps.","Если честно, мне кажется, что я не хочу спорить.","Honestly, it seems to me that I don't want to argue.","он знает, что она права.",he knows that she's right.,"мы знаем, что я не хочу спорить.",we knows that I don't want to argue.,"я знаю, что это реально помогает.",I knows that it really helps.,"ты знаешь, что это не так страшно.",you knows that it's not that scary.,"она знает, что он просто устал.",she knows that he's just tired.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L030.m4a",SoarSystem::L030
31,"(кто-то) сомневается, что…",(someone) doubts that…,(кто-то) готов(а) + инфинитив,(someone) is ready to…,"мы сомневаемся, что это хорошая идея.",we doubts that it's a good idea.,"ты сомневаешься, что это нормально?",you doubts that it's normal.,"я сомневаюсь, что я не хочу спорить.",I doubts that I don't want to argue.,"он сомневается, что это реально помогает.",he doubts that it really helps.,"она сомневается, что он просто устал.",she doubts that he's just tired.,он готов(а) лечь спать пораньше,he is ready to go to bed earlier,мы готов(а) продолжить учиться,we is ready to continue studying,ты готов(а) записать аудио,you is ready to record audio,я готов(а) проверить это,I is ready to check it,она готов(а) выйти на прогулку,she is ready to go for a walk,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L031.m4a",SoarSystem::L031
32,"Жаль, что…",It's a pity that…,Стоит + инфинитив,It's worth… / one should…,"Жаль, что это хорошая идея.",It's a pity that it's a good idea.,"Жаль, что это реально помогает?",It's a pity that it really helps.,"Жаль, что это нормально.",It's a pity that it's normal.,"Жаль, что это нормально.",It's a pity that it's normal.,"Жаль, что это хорошая идея.",It's a pity that it's a good idea.,Стоит продолжить учиться,It's worth continue studying / one should…,Стоит записать аудио,It's worth record audio / one should…,Стоит выйти на прогулку,It's worth go for a walk / one should…,Стоит поговорить с ним,It's worth talk to him / one should…,Стоит поговорить с ней,It's worth talk to her / one should…,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L032.m4a",SoarSystem::L032
33,"Сначала… , потом…","First…, then…","(кто-то) точно считает, что…",(someone) definitely believes that…,"Если получится, я сделаю минимум.","If it works out, I'll do the minimum.","До того как я усну, я сделаю 5 минут.","Before I fall asleep, I'll do 5 minutes.","Пока я ем, мне нужен контент.","While I eat, I need content.","Как только я начну, станет легче.","As soon as I start, it gets easier.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","он точно считает, что мне нужно больше времени.",he definitely believes that I need more time.,"они точно считает, что это не так страшно.",they definitely believes that it's not that scary.,"я точно считает, что мы справимся.",I definitely believes that we'll manage.,"она точно считает, что мне нужно больше времени.",she definitely believes that I need more time.,"ты точно считает, что она права.",you definitely believes that she's right.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L033.m4a",SoarSystem::L033
34,Что это значит?,What does this mean?,"Оказалось, что…",It turned out that…,Можно вопрос? Я запутался/запуталась.,Can I ask a question? I'm confused.,"Можно ещё раз, но помедленнее?","Can you repeat, but slower?",Как сказать «мне лень» по-русски?,How do you say 'I can't be bothered' in Russian?,Что ты имеешь в виду?,What do you mean?,Что это значит в обычной речи?,What does this mean in everyday speech?,"Оказалось, что она права.",It turned out that she's right.,"Оказалось, что я не хочу спорить.",It turned out that I don't want to argue.,"Оказалось, что он просто устал.",It turned out that he's just tired.,"Оказалось, что он просто устал.",It turned out that he's just tired.,"Оказалось, что это нормально.",It turned out that it's normal.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L034.m4a",SoarSystem::L034
35,(кто-то) привык(ла) + инфинитив,(someone) is used to…,(кому-то) хочется + инфинитив,(someone) feels like…,я привык(ла) поговорить с ним,I is used to talk to him,ты привык(ла) лечь спать пораньше,you is used to go to bed earlier,она привык(ла) перестать откладывать,she is used to stop procrastinating,они привык(ла) поговорить с ней,they is used to talk to her,мы привык(ла) продолжить учиться,we is used to continue studying,мне хочется проверить это,I feels like check it,им хочется лечь спать пораньше,they feels like go to bed earlier,тебе хочется поговорить с ней?,you feels like talk to her,ей хочется перестать откладывать,she feels like stop procrastinating,ему хочется выйти на прогулку,he feels like go for a walk,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L035.m4a",SoarSystem::L035
36,"(кто-то) надеется, что…",(someone) hopes that…,"(кто-то) точно знает, что…",(someone) definitely knows that…,"ты надеешься, что это нормально.",you hopes that it's normal.,"они надеются, что всё зависит от ситуации.",they hopes that it depends on the situation.,"я надеюсь, что мы справимся.",I hopes that we'll manage.,"мы надеемся, что он просто устал.",we hopes that he's just tired.,"она надеется, что это хорошая идея.",she hopes that it's a good idea.,"он точно знает, что мне нужно больше времени.",he definitely knows that I need more time.,"она точно знает, что мы справимся.",she definitely knows that we'll manage.,"они точно знает, что мы справимся.",they definitely knows that we'll manage.,"ты точно знает, что это хорошая идея.",you definitely knows that it's a good idea.,"я точно знает, что это нормально.",I definitely knows that it's normal.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L036.m4a",SoarSystem::L036
37,"(кто-то) вроде считает, что…",(someone) kind of believes that…,Нельзя + инфинитив,You're not allowed to…,"он вроде считает, что это хорошая идея.",he kind of believes that it's a good idea.,"она вроде считает, что он просто устал.",she kind of believes that he's just tired.,"ты вроде считает, что это реально помогает.",you kind of believes that it really helps.,"мы вроде считает, что это не так страшно.",we kind of believes that it's not that scary.,"я вроде считает, что всё зависит от ситуации.",I kind of believes that it depends on the situation.,Нельзя записать аудио,You're not allowed to record audio,Нельзя начать учиться,You're not allowed to start studying,Нельзя поговорить с ней,You're not allowed to talk to her,Нельзя поговорить с ним,You're not allowed to talk to him,Нельзя лечь спать пораньше,You're not allowed to go to bed earlier,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L037.m4a",SoarSystem::L037
38,"(кто-то) реально думает, что…",(someone) really thinks that…,(кто-то) решил(а) + инфинитив,(someone) decided to…,"он реально думает, что это нормально.",he really thinks that it's normal.,"ты реально думает, что это нормально?",you really thinks that it's normal.,"мы реально думает, что я не хочу спорить.",we really thinks that I don't want to argue.,"она реально думает, что мы справимся.",she really thinks that we'll manage.,"я реально думает, что она права.",I really thinks that she's right.,ты решил(а) поговорить с ней,you decided to talk to her,они решил(а) проверить это,they decided to check it,мы решил(а) продолжить учиться,we decided to continue studying,он решил(а) выйти на прогулку,he decided to go for a walk,она решил(а) перестать откладывать,she decided to stop procrastinating,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L038.m4a",SoarSystem::L038
39,"На самом деле,…","Actually,…","(кто-то) точно думает, что…",(someone) definitely thinks that…,"Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","Пока я ем, мне нужен контент.","While I eat, I need content.","Если я начну сейчас, то успею.","If I start now, I'll make it.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","я точно думает, что мы справимся.",I definitely thinks that we'll manage.,"она точно думает, что это хорошая идея.",she definitely thinks that it's a good idea.,"они точно думает, что мне нужно больше времени.",they definitely thinks that I need more time.,"мы точно думает, что это реально помогает.",we definitely thinks that it really helps.,"он точно думает, что я не хочу спорить.",he definitely thinks that I don't want to argue.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L039.m4a",SoarSystem::L039
40,Как это работает?,How does it work?,"(кто-то) уверен(а), что…",(someone) is sure that…,Можно вопрос? Я запутался/запуталась.,Can I ask a question? I'm confused.,Что ты имеешь в виду?,What do you mean?,Как сказать «мне лень» по-русски?,How do you say 'I can't be bothered' in Russian?,Что это значит в обычной речи?,What does this mean in everyday speech?,"Можно ещё раз, но помедленнее?","Can you repeat, but slower?","я уверен(а), что он просто устал.",I is sure that he's just tired.,"она уверен(а), что всё зависит от ситуации.",she is sure that it depends on the situation.,"они уверен(а), что мне нужно больше времени.",they is sure that I need more time.,"мы уверен(а), что я не хочу спорить.",we is sure that I don't want to argue.,"ты уверен(а), что она права.",you is sure that she's right.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L040.m4a",SoarSystem::L040
41,(кто-то) начал(а) + инфинитив,(someone) started to…,(кому-то) не нужно + инфинитив,(someone) doesn't need to…,она начал(а) проверить это,she started to check it,они начал(а) записать аудио,they started to record audio,ты начал(а) повторить ещё раз,you started to repeat again,он начал(а) поговорить с ним,he started to talk to him,мы начал(а) начать учиться,we started to start studying,ей не нужно выйти на прогулку,she doesn't need to go for a walk,ему не нужно поговорить с ним,he doesn't need to talk to him,тебе не нужно продолжить учиться,you doesn't need to continue studying,нам не нужно перестать откладывать,we doesn't need to stop procrastinating,мне не нужно проверить это,I doesn't need to check it,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L041.m4a",SoarSystem::L041
42,"(кто-то) не верит, что…",(someone) doesn't believe that…,"Плохо, что…",It's bad that…,"ты не верит, что я не хочу спорить.",you doesn't believe that I don't want to argue.,"мы не верит, что он просто устал.",we doesn't believe that he's just tired.,"я не верит, что это не так страшно.",I doesn't believe that it's not that scary.,"она не верит, что всё зависит от ситуации.",she doesn't believe that it depends on the situation.,"они не верит, что он просто устал.",they doesn't believe that he's just tired.,"Плохо, что я не хочу спорить.",It's bad that I don't want to argue.,"Плохо, что она права.",It's bad that she's right.,"Плохо, что мы справимся.",It's bad that we'll manage.,"Плохо, что это реально помогает.",It's bad that it really helps.,"Плохо, что она права.",It's bad that she's right.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L042.m4a",SoarSystem::L042
43,"Странно, что…",It's strange that…,(кто-то) может + инфинитив,(someone) can…,"Странно, что он просто устал.",It's strange that he's just tired.,"Странно, что всё зависит от ситуации.",It's strange that it depends on the situation.,"Странно, что мне нужно больше времени.",It's strange that I need more time.,"Странно, что она права.",It's strange that she's right.,"Странно, что мы справимся.",It's strange that we'll manage.,они может перестать откладывать,they can stop procrastinating,она может начать учиться,she can start studying,мы может продолжить учиться?,we can continue studying,он может поговорить с ней,he can talk to her,я может проверить это,I can check it,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L043.m4a",SoarSystem::L043
44,"На самом деле, мне кажется, что…","Actually, it seems to me that…",(кому-то) трудно + инфинитив,It's hard for (someone) to…,"На самом деле, мне кажется, что это реально помогает.","Actually, it seems to me that it really helps.","На самом деле, мне кажется, что это не так страшно.","Actually, it seems to me that it's not that scary.","На самом деле, мне кажется, что я не хочу спорить.","Actually, it seems to me that I don't want to argue.","На самом деле, мне кажется, что это хорошая идея.","Actually, it seems to me that it's a good idea.","На самом деле, мне кажется, что это хорошая идея.","Actually, it seems to me that it's a good idea.",мне трудно перестать откладывать,It's hard for I to stop procrastinating,ей трудно выйти на прогулку,It's hard for she to go for a walk,нам трудно проверить это,It's hard for we to check it,тебе трудно начать учиться,It's hard for you to start studying,им трудно продолжить учиться,It's hard for they to continue studying,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L044.m4a",SoarSystem::L044
45,"Если честно,…","Honestly,…","(кто-то) реально считает, что…",(someone) really believes that…,"До того как я усну, я сделаю 5 минут.","Before I fall asleep, I'll do 5 minutes.","Если я начну сейчас, то успею.","If I start now, I'll make it.","Если получится, я сделаю минимум.","If it works out, I'll do the minimum.","Пока я ем, мне нужен контент.","While I eat, I need content.","Как только я начну, станет легче.","As soon as I start, it gets easier.","он реально считает, что он просто устал.",he really believes that he's just tired.,"мы реально считает, что это не так страшно.",we really believes that it's not that scary.,"они реально считает, что мы справимся.",they really believes that we'll manage.,"ты реально считает, что это не так страшно.",you really believes that it's not that scary.,"я реально считает, что это нормально.",I really believes that it's normal.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L045.m4a",SoarSystem::L045
46,Что ты имеешь в виду?,What do you mean?,"(кто-то) удивлён(а), что…",(someone) is surprised that…,Что это значит в обычной речи?,What does this mean in everyday speech?,Что ты имеешь в виду?,What do you mean?,"Можно ещё раз, но помедленнее?","Can you repeat, but slower?",Можно вопрос? Я запутался/запуталась.,Can I ask a question? I'm confused.,Как сказать «мне лень» по-русски?,How do you say 'I can't be bothered' in Russian?,"ты удивлён(а), что это нормально.",you is surprised that it's normal.,"они удивлён(а), что всё зависит от ситуации.",they is surprised that it depends on the situation.,"я удивлён(а), что это реально помогает.",I is surprised that it really helps.,"он удивлён(а), что он просто устал.",he is surprised that he's just tired.,"она удивлён(а), что он просто устал.",she is surprised that he's just tired.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L046.m4a",SoarSystem::L046
47,(кто-то) старается + инфинитив,(someone) is making an effort to…,Можно мне + инфинитив?,May I…?,он старается перестать откладывать,he is making an effort to stop procrastinating,я старается проверить это,I is making an effort to check it,она старается начать учиться,she is making an effort to start studying,они старается поговорить с ней,they is making an effort to talk to her,ты старается продолжить учиться,you is making an effort to continue studying,Можно мне поговорить с ней?,May I talk to her?,Можно мне поговорить с ним?,May I talk to him?,Можно мне начать учиться?,May I start studying?,Можно мне продолжить учиться?,May I continue studying?,Можно мне проверить это?,May I check it?,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L047.m4a",SoarSystem::L047
48,"(кто-то) реально надеется, что…",(someone) really hopes that…,"(кто-то) видит, что…",(someone) sees that…,"они реально надеется, что это нормально.",they really hopes that it's normal.,"мы реально надеется, что это хорошая идея.",we really hopes that it's a good idea.,"она реально надеется, что он просто устал.",she really hopes that he's just tired.,"он реально надеется, что это хорошая идея.",he really hopes that it's a good idea.,"я реально надеется, что я не хочу спорить.",I really hopes that I don't want to argue.,"они видит, что это хорошая идея.",they sees that it's a good idea.,"он видит, что это хорошая идея.",he sees that it's a good idea.,"мы видит, что всё зависит от ситуации.",we sees that it depends on the situation.,"я видит, что она права.",I sees that she's right.,"она видит, что всё зависит от ситуации.",she sees that it depends on the situation.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L048.m4a",SoarSystem::L048
49,"(кто-то) заметил(а), что…",(someone) noticed that…,(кому-то) лучше + инфинитив,(someone) had better…,"мы заметил(а), что это нормально.",we noticed that it's normal.,"она заметил(а), что это хорошая идея.",she noticed that it's a good idea.,"я заметил(а), что это реально помогает.",I noticed that it really helps.,"он заметил(а), что мне нужно больше времени.",he noticed that I need more time.,"ты заметил(а), что всё зависит от ситуации.",you noticed that it depends on the situation.,нам лучше выйти на прогулку,we had better go for a walk,им лучше поговорить с ней,they had better talk to her,ей лучше начать учиться,she had better start studying,мне лучше перестать откладывать,I had better stop procrastinating,ему лучше повторить ещё раз,he had better repeat again,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L049.m4a",SoarSystem::L049
50,"(кто-то) понимает, почему…",(someone) understands why…,(кому-то) нужно + инфинитив,(someone) needs to…,"он понимает, почему почему я это откладываю.",he understands why why I procrastinate.,"они понимают, почему почему это не получается.",they understands why why it isn't working.,"она понимает, почему почему это не получается.",she understands why why it isn't working.,"я понимаю, почему почему я это откладываю.",I understands why why I procrastinate.,"ты понимаешь, почему почему я это откладываю.",you understands why why I procrastinate.,тебе нужно продолжить учиться,you needs to continue studying,ей нужно повторить ещё раз,she needs to repeat again,ему нужно перестать откладывать,he needs to stop procrastinating,нам нужно проверить это,we needs to check it,мне нужно выйти на прогулку,I needs to go for a walk,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L050.m4a",SoarSystem::L050
51,Если вдруг…,If by any chance…,"(кто-то) наверное думает, что…",(someone) probably thinks that…,"Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Как только я начну, станет легче.","As soon as I start, it gets easier.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","Пока я ем, мне нужен контент.","While I eat, I need content.","Если я начну сейчас, то успею.","If I start now, I'll make it.","он наверное думает, что она права.",he probably thinks that she's right.,"я наверное думает, что я не хочу спорить.",I probably thinks that I don't want to argue.,"мы наверное думает, что это реально помогает.",we probably thinks that it really helps.,"ты наверное думает, что это не так страшно.",you probably thinks that it's not that scary.,"они наверное думает, что мы справимся.",they probably thinks that we'll manage.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L051.m4a",SoarSystem::L051
52,Как сказать «…» по-русски?,How do you say “…” in Russian?,"(кто-то) вроде надеется, что…",(someone) kind of hopes that…,Можно вопрос? Я запутался/запуталась.,Can I ask a question? I'm confused.,Что это значит в обычной речи?,What does this mean in everyday speech?,"Можно ещё раз, но помедленнее?","Can you repeat, but slower?",Что ты имеешь в виду?,What do you mean?,Как сказать «мне лень» по-русски?,How do you say 'I can't be bothered' in Russian?,"они вроде надеется, что мне нужно больше времени.",they kind of hopes that I need more time.,"ты вроде надеется, что она права?",you kind of hopes that she's right.,"мы вроде надеется, что мне нужно больше времени.",we kind of hopes that I need more time.,"она вроде надеется, что она права.",she kind of hopes that she's right.,"он вроде надеется, что это реально помогает.",he kind of hopes that it really helps.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L052.m4a",SoarSystem::L052
